avg_cost,k,stddev
1.5683565478,0,2.5289543876
1.4029450795,1,2.2502487761
0.9016415337,2,1.7488181723
1.0641442312,3,1.6139731172
1.0021996649,4,1.5876482121
0.9450553745,5,1.2419583228
0.7856953029,6,1.1567026871
0.9109244509,7,1.141634715
0.7101915821,8,1.0002709366
0.6192427174,9,0.8920633693
0.4253406329,10,0.727121582
0.7491895653,11,0.8716939393
0.5732083529,12,0.8214691658
0.4375237683,13,0.6919573907
0.3805922447,14,0.6400442798
0.4281523434,15,0.6316050807
0.455076569,16,0.6481862091
0.3475034386,17,0.552951987
0.424213261,18,0.5727140703
0.5626232193,19,0.646498093
0.3604678235,20,0.5192340163
0.5566680412,21,0.5917216629
0.5417712598,22,0.5534153366
0.3959744621,23,0.5466795471
0.3859929572,24,0.4626678898
0.3446137055,25,0.4474142223
0.2815795955,26,0.4329159786
0.3230773286,27,0.4495847159
0.2937977463,28,0.398901715
0.2235367255,29,0.3018274254
0.2511596582,30,0.3639278199
0.2757764877,31,0.3981666602
0.4228451516,32,0.4767598226
0.2961946215,33,0.3306542796
0.2739876009,34,0.3389766003
0.2392659858,35,0.3317634185
0.3787622135,36,0.4116974356
0.2594534923,37,0.3230166338
0.2494017009,38,0.2982321074
0.3094873509,39,0.3178817963
0.5195776632,40,0.4084351547
0.3446627526,41,0.3419490787
0.2855016384,42,0.2468712954
0.2294885084,43,0.3248379872
0.2855798852,44,0.2795180167
0.3394178001,45,0.3401255547
0.2683363025,46,0.3296979499
0.2794394318,47,0.3183581387
0.2710477363,48,0.2733819343
0.3725140024,49,0.2657859798
0.2380638541,50,0.2512099216
0.1758749253,51,0.2021591462
0.2536656555,52,0.2494408836
0.1848235244,53,0.2206645192
0.2752021483,54,0.2439884398
0.2408839654,55,0.2141488654
0.1826093913,56,0.1869765537
0.1929526934,57,0.1981918112
0.2089920066,58,0.2394914393
0.1941911576,59,0.1964278714
0.20358944,60,0.2193164099
0.1851339313,61,0.2008642919
0.2723110443,62,0.27858522
0.2782727216,63,0.2627986588
0.2562165284,64,0.2520080714
0.167737113,65,0.18583631
0.2081523688,66,0.1799571304
0.1855682948,67,0.2130124046
0.2242621229,68,0.2038859713
0.2422902853,69,0.2139579757
0.2312666794,70,0.1801644921
0.2563521189,71,0.2292739779
0.2110948151,72,0.1736003567
0.1943781122,73,0.147030666
0.1810455178,74,0.1552628726
0.2262051076,75,0.1414783793
0.2118760206,76,0.1810395823
0.1659055805,77,0.1489251623
0.2189536504,78,0.1563541042
0.179805075,79,0.1308736905
0.2091095145,80,0.1316001998
0.1572849367,81,0.1470246043
0.1939918455,82,0.1650988249
0.220382922,83,0.1553950375
0.2074259377,84,0.187035296
0.1303786458,85,0.0966339462
