cost, mean
1.9631714842,2
1.673324603,3
1.300135936,4
1.233879761,5
1.244124646,6
1.086430632,7
1.183449501,8
1.127127023,9
0.984262541,10
0.98683578,11
0.945118023,12
0.708785745,13
0.612824485,14
0.713609767,15
0.670341106,16
0.65709197,17
0.809819973,18
0.733473641,19
0.678553163,20
0.419965132,21
0.580682049,22
0.42277096,23
0.46656431,24
0.46629107,25
0.488222838,26
0.450049907,27
0.371432686,28
0.35322966,29
0.339043857,3O
0.483327959,31
0.541339068,32
0.420771765,33
0.357239951,34
0.388142508,35
0.329880276,36
0.347640019,37
0.391344758,38
0.280260401,39
0.314017693,40
0.378672245,41
0.250506219,42
0.283855606,43
0.320680688,44
0.2532853,45
0.228349853,46
0.246335387,47
0.275341012,48
0.286749231,49
0.201481919,50
0.194516726,51
0.247271661,52
0.231616032,53
0.245104358,54
0.311025085,55
0.202781202,56
0.234559799,57
0.24643832,58
0.191192075,59
0.223205738,60
0.1940192,61
0.243555101,62
0.161120454,63
0.153482043,64
0.204383843,65
0.193595916,66
0.212938081,67
0.162325416,68
0.224597384,69
0.151997812,70
0.23028241,71
0.311685799,72
0.179215021,73
0.162048795,74
0.154812653,75
0.168969748,76
0.167383053,77
0.128101971,78
0.191792908,79
